19:25:52 - Эпоха 1/20 | Батч 10/114 | Loss: 2.7424 | Accuracy: 9.38%
19:25:53 - Эпоха 1/20 | Батч 20/114 | Loss: 2.6323 | Accuracy: 9.38%
19:25:54 - Эпоха 1/20 | Батч 30/114 | Loss: 2.8413 | Accuracy: 9.38%
19:25:55 - Эпоха 1/20 | Батч 40/114 | Loss: 2.3896 | Accuracy: 15.62%
19:25:55 - Эпоха 1/20 | Батч 50/114 | Loss: 2.5619 | Accuracy: 9.38%
19:25:56 - Эпоха 1/20 | Батч 60/114 | Loss: 2.5738 | Accuracy: 18.75%
19:25:57 - Эпоха 1/20 | Батч 70/114 | Loss: 2.7721 | Accuracy: 12.50%
19:25:58 - Эпоха 1/20 | Батч 80/114 | Loss: 2.3605 | Accuracy: 9.38%
19:25:59 - Эпоха 1/20 | Батч 90/114 | Loss: 2.5360 | Accuracy: 9.38%
19:26:00 - Эпоха 1/20 | Батч 100/114 | Loss: 2.4424 | Accuracy: 25.00%
19:26:00 - Эпоха 1/20 | Батч 110/114 | Loss: 2.3015 | Accuracy: 21.88%
19:26:01 - Эпоха 1/20 | Батч 114/114 | Loss: 2.2912 | Accuracy: 20.83%
19:26:02 - Эпоха 2/20 | Батч 10/114 | Loss: 2.7059 | Accuracy: 15.62%
19:26:03 - Эпоха 2/20 | Батч 20/114 | Loss: 2.1021 | Accuracy: 34.38%
19:26:05 - Эпоха 2/20 | Батч 30/114 | Loss: 2.1564 | Accuracy: 34.38%
19:26:06 - Эпоха 2/20 | Батч 40/114 | Loss: 2.3062 | Accuracy: 21.88%
19:26:06 - Эпоха 2/20 | Батч 50/114 | Loss: 2.6642 | Accuracy: 15.62%
19:26:07 - Эпоха 2/20 | Батч 60/114 | Loss: 2.3899 | Accuracy: 12.50%
19:26:08 - Эпоха 2/20 | Батч 70/114 | Loss: 2.3201 | Accuracy: 28.12%
19:26:09 - Эпоха 2/20 | Батч 80/114 | Loss: 2.2881 | Accuracy: 25.00%
19:26:10 - Эпоха 2/20 | Батч 90/114 | Loss: 2.6707 | Accuracy: 6.25%
19:26:10 - Эпоха 2/20 | Батч 100/114 | Loss: 1.9968 | Accuracy: 31.25%
19:26:11 - Эпоха 2/20 | Батч 110/114 | Loss: 2.5126 | Accuracy: 9.38%
19:26:12 - Эпоха 2/20 | Батч 114/114 | Loss: 2.2593 | Accuracy: 29.17%
19:26:13 - Эпоха 3/20 | Батч 10/114 | Loss: 2.2719 | Accuracy: 28.12%
19:26:14 - Эпоха 3/20 | Батч 20/114 | Loss: 2.2920 | Accuracy: 15.62%
19:26:15 - Эпоха 3/20 | Батч 30/114 | Loss: 2.4060 | Accuracy: 15.62%
19:26:15 - Эпоха 3/20 | Батч 40/114 | Loss: 2.2638 | Accuracy: 18.75%
19:26:16 - Эпоха 3/20 | Батч 50/114 | Loss: 2.4810 | Accuracy: 21.88%
19:26:18 - Эпоха 3/20 | Батч 60/114 | Loss: 1.8323 | Accuracy: 34.38%
19:26:19 - Эпоха 3/20 | Батч 70/114 | Loss: 2.3994 | Accuracy: 12.50%
19:26:20 - Эпоха 3/20 | Батч 80/114 | Loss: 2.2868 | Accuracy: 15.62%
19:26:20 - Эпоха 3/20 | Батч 90/114 | Loss: 2.1776 | Accuracy: 21.88%
19:26:21 - Эпоха 3/20 | Батч 100/114 | Loss: 2.1689 | Accuracy: 21.88%
19:26:22 - Эпоха 3/20 | Батч 110/114 | Loss: 1.9842 | Accuracy: 40.62%
19:26:22 - Эпоха 3/20 | Батч 114/114 | Loss: 2.1720 | Accuracy: 29.17%
19:26:24 - Эпоха 4/20 | Батч 10/114 | Loss: 1.9123 | Accuracy: 28.12%
19:26:25 - Эпоха 4/20 | Батч 20/114 | Loss: 2.2467 | Accuracy: 12.50%
19:26:25 - Эпоха 4/20 | Батч 30/114 | Loss: 2.0398 | Accuracy: 25.00%
19:26:26 - Эпоха 4/20 | Батч 40/114 | Loss: 1.9049 | Accuracy: 31.25%
19:26:27 - Эпоха 4/20 | Батч 50/114 | Loss: 2.3330 | Accuracy: 18.75%
19:26:28 - Эпоха 4/20 | Батч 60/114 | Loss: 2.0310 | Accuracy: 31.25%
19:26:29 - Эпоха 4/20 | Батч 70/114 | Loss: 2.6727 | Accuracy: 12.50%
19:26:31 - Эпоха 4/20 | Батч 80/114 | Loss: 2.3854 | Accuracy: 9.38%
19:26:32 - Эпоха 4/20 | Батч 90/114 | Loss: 2.1000 | Accuracy: 28.12%
19:26:33 - Эпоха 4/20 | Батч 100/114 | Loss: 2.2354 | Accuracy: 12.50%
19:26:33 - Эпоха 4/20 | Батч 110/114 | Loss: 2.2208 | Accuracy: 21.88%
19:26:34 - Эпоха 4/20 | Батч 114/114 | Loss: 2.0451 | Accuracy: 25.00%
19:26:35 - Эпоха 5/20 | Батч 10/114 | Loss: 1.8243 | Accuracy: 40.62%
19:26:36 - Эпоха 5/20 | Батч 20/114 | Loss: 2.1786 | Accuracy: 12.50%
19:26:37 - Эпоха 5/20 | Батч 30/114 | Loss: 1.9221 | Accuracy: 37.50%
19:26:38 - Эпоха 5/20 | Батч 40/114 | Loss: 1.8859 | Accuracy: 28.12%
19:26:38 - Эпоха 5/20 | Батч 50/114 | Loss: 1.9085 | Accuracy: 28.12%
19:26:39 - Эпоха 5/20 | Батч 60/114 | Loss: 1.8450 | Accuracy: 25.00%
19:26:40 - Эпоха 5/20 | Батч 70/114 | Loss: 1.9993 | Accuracy: 34.38%
19:26:41 - Эпоха 5/20 | Батч 80/114 | Loss: 2.1495 | Accuracy: 25.00%
19:26:42 - Эпоха 5/20 | Батч 90/114 | Loss: 1.9999 | Accuracy: 31.25%
19:26:43 - Эпоха 5/20 | Батч 100/114 | Loss: 1.7259 | Accuracy: 34.38%
19:26:44 - Эпоха 5/20 | Батч 110/114 | Loss: 2.1744 | Accuracy: 34.38%
19:26:45 - Эпоха 5/20 | Батч 114/114 | Loss: 1.9877 | Accuracy: 45.83%
19:26:46 - Эпоха 6/20 | Батч 10/114 | Loss: 1.8803 | Accuracy: 37.50%
19:26:47 - Эпоха 6/20 | Батч 20/114 | Loss: 1.8423 | Accuracy: 43.75%
19:26:48 - Эпоха 6/20 | Батч 30/114 | Loss: 1.8278 | Accuracy: 31.25%
